"db","query","family","order","kingdom"
"ncbi","Attalus","Melyridae","Coleoptera","Metazoa"
"ncbi","Atteva","Attevidae","Lepidoptera","Metazoa"
"ncbi","Augochlora","Halictidae","Hymenoptera","Metazoa"
"ncbi","Augochlorella","Halictidae","Hymenoptera","Metazoa"
"ncbi","Augochloropsis","Halictidae","Hymenoptera","Metazoa"
"ncbi","Autographa","Noctuidae","Lepidoptera","Metazoa"
"ncbi","Axinopalpus","Carabidae","Coleoptera","Metazoa"
"ncbi","Bactridium","Monotomidae","Coleoptera","Metazoa"
"ncbi","Badister","Carabidae","Coleoptera","Metazoa"
"ncbi","Baeocera","Staphylinidae","Coleoptera","Metazoa"
"ncbi","Balcanocerus","Cicadellidae","Hemiptera","Metazoa"
"ncbi","Balclutha","Cicadellidae","Hemiptera","Metazoa"
"ncbi","Balsa","Noctuidae","Lepidoptera","Metazoa"
"ncbi","Banasa","Pentatomidae","Hemiptera","Metazoa"
"ncbi","Banchinae","Ichneumonidae","Hymenoptera","Metazoa"
"ncbi","Bandara","Cicadellidae","Hemiptera","Metazoa"
"ncbi","Barce","Reduviidae","Hemiptera","Metazoa"
"ncbi","Barypeithes","Curculionidae","Coleoptera","Metazoa"
"ncbi","Bassareus","Chrysomelidae","Coleoptera","Metazoa"
"ncbi","Bembidion","Carabidae","Coleoptera","Metazoa"
"ncbi","Bembix","Crabronidae","Hymenoptera","Metazoa"
"ncbi","Berytidae","Berytidae","Hemiptera","Metazoa"
"ncbi","Bethylidae","Bethylidae","Hymenoptera","Metazoa"
"ncbi","Bibionidae","Bibionidae","Diptera","Metazoa"
"ncbi","Bicyrtes","Crabronidae","Hymenoptera","Metazoa"
"ncbi","Bisnius","Staphylinidae","Coleoptera","Metazoa"
"ncbi","Blacinae","Braconidae","Hymenoptera","Metazoa"
"ncbi","Blaniulus","Blaniulidae","Julida","Metazoa"
"ncbi","Blapstinus","Tenebrionidae","Coleoptera","Metazoa"
"ncbi","Blepharomastix","Crambidae","Lepidoptera","Metazoa"
"ncbi","Bleptina","Erebidae","Lepidoptera","Metazoa"
"ncbi","Blissidae","Blissidae","Hemiptera","Metazoa"
"ncbi","Blissus","Blissidae","Hemiptera","Metazoa"
"ncbi","Boletina","Mycetophilidae","Diptera","Metazoa"
"ncbi","Bombus","Apidae","Hymenoptera","Metazoa"
"ncbi","Bombyliidae","Bombyliidae","Diptera","Metazoa"
"ncbi","Bombylius","Bombyliidae","Diptera","Metazoa"
"ncbi","Brachiacantha","Coccinellidae","Coleoptera","Metazoa"
"ncbi","Brachinus","Carabidae","Coleoptera","Metazoa"
"ncbi","Brachygluta","Staphylinidae","Coleoptera","Metazoa"
"ncbi","Brachyiulus","Julidae","Julida","Metazoa"
"ncbi","Brachyleptura","Cerambycidae","Coleoptera","Metazoa"
"ncbi","Brachymyrmex","Formicidae","Hymenoptera","Metazoa"
"ncbi","Brachypeza","Mycetophilidae","Diptera","Metazoa"
"ncbi","Brachypterolus","Kateretidae","Coleoptera","Metazoa"
"ncbi","Braconidae","Braconidae","Hymenoptera","Metazoa"
"ncbi","Braconinae","Braconidae","Hymenoptera","Metazoa"
"ncbi","Bradycellus","Carabidae","Coleoptera","Metazoa"
"ncbi","Brevicornu","Mycetophilidae","Diptera","Metazoa"
"ncbi","Bruchidae","Chrysomelidae","Coleoptera","Metazoa"
"ncbi","Bryoporus","Staphylinidae","Coleoptera","Metazoa"
"ncbi","Bufolucilia","Calliphoridae","Diptera","Metazoa"
"ncbi","Byturus","Byturidae","Coleoptera","Metazoa"
"ncbi","Caenocara","Dermestidae","Coleoptera","Metazoa"
"ncbi","Caenochrysis","Chrysididae","Hymenoptera","Metazoa"
"ncbi","Caenurgina","Erebidae","Lepidoptera","Metazoa"
"ncbi","Cafius","Staphylinidae","Coleoptera","Metazoa"
"ncbi","Calathus","Carabidae","Coleoptera","Metazoa"
"ncbi","Caliadurgus","Pompilidae","Hymenoptera","Metazoa"
"ncbi","Calligrapha","Chrysomelidae","Coleoptera","Metazoa"
"ncbi","Calliopsis","Andrenidae","Hymenoptera","Metazoa"
"ncbi","Calliphora","Calliphoridae","Diptera","Metazoa"
"ncbi","Calliphoridae","Calliphoridae","Diptera","Metazoa"
"ncbi","Callophrys","Lycaenidae","Lepidoptera","Metazoa"
"ncbi","Calophasia","Noctuidae","Lepidoptera","Metazoa"
"ncbi","Calopteron","Lycidae","Coleoptera","Metazoa"
"ncbi","Campaea","Geometridae","Lepidoptera","Metazoa"
"ncbi","Campoleginae",NA,NA,NA
"ncbi","Camponotus","Formicidae","Hymenoptera","Metazoa"
"ncbi","Campylenchia","Membracidae","Hemiptera","Metazoa"
"ncbi","Canifa","Scraptiidae","Coleoptera","Metazoa"
"ncbi","Cantharidae","Cantharidae","Coleoptera","Metazoa"
"ncbi","Cantharis","Cantharidae","Coleoptera","Metazoa"
"ncbi","Capnochroa","Tenebrionidae","Coleoptera","Metazoa"
"ncbi","Capraita","Chrysomelidae","Coleoptera","Metazoa"
"ncbi","Capsus","Miridae","Hemiptera","Metazoa"
"ncbi","Carabidae","Carabidae","Coleoptera","Metazoa"
"ncbi","Carabus","Carabidae","Coleoptera","Metazoa"
"ncbi","Cardiochiles","Braconidae","Hymenoptera","Metazoa"
"ncbi","Cardiophorus","Elateridae","Coleoptera","Metazoa"
"ncbi","Carphacis","Staphylinidae","Coleoptera","Metazoa"
"ncbi","Carpophilus","Nitidulidae","Coleoptera","Metazoa"
"ncbi","Cartodere","Latridiidae","Coleoptera","Metazoa"
"ncbi","Cassida","Chrysomelidae","Coleoptera","Metazoa"
"ncbi","Castianeira","Clubionidae","Araneae","Metazoa"
"ncbi","Cathormiocerus","Curculionidae","Coleoptera","Metazoa"
"ncbi","Catocala","Erebidae","Lepidoptera","Metazoa"
"ncbi","Catogenus","Passandridae","Coleoptera","Metazoa"
"ncbi","Catonia","Achilidae","Hemiptera","Metazoa"
"ncbi","Celastrina","Lycaenidae","Lepidoptera","Metazoa"
"ncbi","Celithemis","Libellulidae","Odonata","Metazoa"
"ncbi","Cenocoelius","Braconidae","Hymenoptera","Metazoa"
"ncbi","Centronopus",NA,NA,NA
"ncbi","Cepaea","Helicidae","Stylommatophora","Metazoa"
"ncbi","Cephalonomia","Bethylidae","Hymenoptera","Metazoa"
"ncbi","Ceratagallia","Cicadellidae","Hemiptera","Metazoa"
"ncbi","Ceratina","Apidae","Hymenoptera","Metazoa"
"ncbi","Cerceris","Crabronidae","Hymenoptera","Metazoa"
"ncbi","Cercyon","Hydrophilidae","Coleoptera","Metazoa"
"ncbi","Cercyonis","Nymphalidae","Lepidoptera","Metazoa"
"ncbi","Ceresa","Membracidae","Hemiptera","Metazoa"
"ncbi","Ceuthophilus","Rhaphidophoridae","Orthoptera","Metazoa"
"ncbi","Ceutorhynchus","Curculionidae","Coleoptera","Metazoa"
"ncbi","Chaetocnema","Chrysomelidae","Coleoptera","Metazoa"
"ncbi","Chalcididae","Chalcididae","Hymenoptera","Metazoa"
"ncbi","Chalcidoidea",NA,"Hymenoptera","Metazoa"
"ncbi","Chalybion","Sphecidae","Hymenoptera","Metazoa"
"ncbi","Charaphloeus","Laemophloeidae","Coleoptera","Metazoa"
"ncbi","Charidotella","Chrysomelidae","Coleoptera","Metazoa"
"ncbi","Chariessa","Cleridae","Coleoptera","Metazoa"
"ncbi","Chauliodes","Corydalidae","Megaloptera","Metazoa"
"ncbi","Cheiracanthium","Cheiracanthiidae","Araneae","Metazoa"
"ncbi","Cheloninae","Braconidae","Hymenoptera","Metazoa"
"ncbi","Chelymorpha","Chrysomelidae","Coleoptera","Metazoa"
"ncbi","Chernetidae","Chernetidae","Pseudoscorpiones","Metazoa"
"ncbi","Chilocorus","Coccinellidae","Coleoptera","Metazoa"
"ncbi","Chlaenius","Carabidae","Coleoptera","Metazoa"
"ncbi","Chlorochlamys","Geometridae","Lepidoptera","Metazoa"
"ncbi","Chloroclystis","Geometridae","Lepidoptera","Metazoa"
"ncbi","Chlorotettix","Cicadellidae","Hemiptera","Metazoa"
"ncbi","Choneiulus","Blaniulidae","Julida","Metazoa"
"ncbi","Choristoneura","Tortricidae","Lepidoptera","Metazoa"
"ncbi","Chorthippus","Acrididae","Orthoptera","Metazoa"
"ncbi","Chortophaga","Acrididae","Orthoptera","Metazoa"
"ncbi","Chrysis","Chrysididae","Hymenoptera","Metazoa"
"ncbi","Chrysodeixis","Noctuidae","Lepidoptera","Metazoa"
"ncbi","Chrysolina","Chrysomelidae","Coleoptera","Metazoa"
"ncbi","Chrysomelidae","Chrysomelidae","Coleoptera","Metazoa"
"ncbi","Chrysopa","Chrysopidae","Neuroptera","Metazoa"
"ncbi","Chrysopidae","Chrysopidae","Neuroptera","Metazoa"
"ncbi","Chrysura","Chrysididae","Hymenoptera","Metazoa"
"ncbi","Chytolita","Erebidae","Lepidoptera","Metazoa"
"ncbi","Chytonix","Noctuidae","Lepidoptera","Metazoa"
"ncbi","Cicadellidae","Cicadellidae","Hemiptera","Metazoa"
"ncbi","Cicindela","Carabidae","Coleoptera","Metazoa"
"ncbi","Ciidae","Ciidae","Coleoptera","Metazoa"
"ncbi","Cisseps","Erebidae","Lepidoptera","Metazoa"
"ncbi","Cisthene","Erebidae","Lepidoptera","Metazoa"
"ncbi","Cixiidae","Cixiidae","Hemiptera","Metazoa"
"ncbi","Clastoptera","Clastopteridae","Hemiptera","Metazoa"
"ncbi","Cleptes","Chrysididae","Hymenoptera","Metazoa"
"ncbi","Cleridae","Cleridae","Coleoptera","Metazoa"
"ncbi","Clivina","Carabidae","Coleoptera","Metazoa"
"ncbi","Clonophoromyces",NA,NA,NA
"ncbi","Clypastraea","Corylophidae","Coleoptera","Metazoa"
"ncbi","Clytemnestra",NA,NA,NA
"ncbi","Cnopus",NA,NA,NA
"ncbi","Coccinella","Coccinellidae","Coleoptera","Metazoa"
"ncbi","Coccinellidae","Coccinellidae","Coleoptera","Metazoa"
"ncbi","Cochlicopa","Cochlicopidae","Stylommatophora","Metazoa"
"ncbi","Coelidia","Cicadellidae","Hemiptera","Metazoa"
"ncbi","Coelioxys","Megachilidae","Hymenoptera","Metazoa"
"ncbi","Coelopa","Coelopidae","Diptera","Metazoa"
"ncbi","Coenagrionidae","Coenagrionidae","Odonata","Metazoa"
"ncbi","Coenonympha","Nymphalidae","Lepidoptera","Metazoa"
"ncbi","Coleomegilla","Coccinellidae","Coleoptera","Metazoa"
"ncbi","Coleoptera",NA,"Coleoptera","Metazoa"
